task	status	background_lineage
3d-scan-calc	validated_skill_only_full_score	verified
adaptive-cruise-control	validated_skill_only_full_score	verified
azure-bgp-oscillation-route-leak	candidate_not_finalized	verified
citation-check	validated_skill_only_full_score	verified
civ6-adjacency-optimizer	candidate_not_finalized	verified
court-form-filling	validated_skill_only_full_score	verified
crystallographic-wyckoff-position-analysis	validated_skill_only_full_score	verified
dapt-intrusion-detection	candidate_not_finalized	verified
data-to-d3	validated_skill_only_full_score	verified
dialogue-parser	validated_skill_only_full_score	verified
dynamic-object-aware-egomotion	validated_skill_only_full_score	verified
earthquake-phase-association	validated_skill_only_full_score	verified
earthquake-plate-calculation	validated_skill_only_full_score	verified
econ-detrending-correlation	validated_skill_only_full_score	verified
energy-ac-optimal-power-flow	validated_skill_only_full_score	verified
energy-market-pricing	validated_skill_only_full_score	verified
enterprise-information-search	candidate_not_finalized	verified
exceltable-in-ppt	validated_skill_only_full_score	verified
exoplanet-detection-period	validated_skill_only_full_score	verified
financial-modeling-qa	candidate_not_finalized	verified
find-topk-similiar-chemicals	validated_skill_only_full_score	verified
fix-build-agentops	validated_skill_only_full_score	verified
fix-build-google-auto	candidate_not_finalized	verified
fix-druid-loophole-cve	validated_skill_only_full_score	verified
fix-erlang-ssh-cve	candidate_not_finalized	verified
fix-visual-stability	validated_skill_only_full_score	verified
flink-query	validated_skill_only_full_score	verified
flood-risk-analysis	validated_skill_only_full_score	verified
gh-repo-analytics	validated_skill_only_full_score	verified
glm-lake-mendota	validated_skill_only_full_score	verified
gravitational-wave-detection	validated_skill_only_full_score	verified
grid-dispatch-operator	validated_skill_only_full_score	verified
hvac-control	validated_skill_only_full_score	verified
invoice-fraud-detection	candidate_not_finalized	verified
jax-computing-basics	validated_skill_only_full_score	verified
jpg-ocr-stat	validated_skill_only_full_score	verified
lab-unit-harmonization	candidate_not_finalized	verified
lake-warming-attribution	validated_skill_only_full_score	verified
latex-formula-extraction	validated_skill_only_full_score	verified
lean4-proof	validated_skill_only_full_score	verified
manufacturing-codebook-normalization	validated_skill_only_full_score	verified
manufacturing-equipment-maintenance	candidate_not_finalized	verified
manufacturing-fjsp-optimization	candidate_not_finalized	verified
mario-coin-counting	validated_skill_only_full_score	verified
mars-clouds-clustering	validated_skill_only_full_score	verified
multilingual-video-dubbing	validated_skill_only_full_score	verified
offer-letter-generator	validated_skill_only_full_score	verified
organize-messy-files	validated_skill_only_full_score	verified
paper-anonymizer	candidate_not_finalized	verified
parallel-tfidf-search	validated_skill_only_full_score	verified
pddl-tpp-planning	validated_skill_only_full_score	verified
pdf-excel-diff	validated_skill_only_full_score	verified
pedestrian-traffic-counting	candidate_not_finalized	verified
pg-essay-to-audiobook	candidate_not_finalized	verified
powerlifting-coef-calc	validated_skill_only_full_score	verified
pptx-reference-formatting	validated_skill_only_full_score	verified
protein-expression-analysis	validated_skill_only_full_score	verified
python-scala-translation	validated_skill_only_full_score	verified
quantum-numerical-simulation	validated_skill_only_full_score	verified
r2r-mpc-control	validated_skill_only_full_score	verified
react-performance-debugging	validated_skill_only_full_score	verified
reserves-at-risk-calc	validated_skill_only_full_score	verified
sales-pivot-analysis	validated_skill_only_full_score	verified
sec-financial-report	candidate_not_finalized	verified
seismic-phase-picking	validated_skill_only_full_score	verified
setup-fuzzing-py	validated_skill_only_full_score	verified
shock-analysis-demand	candidate_not_finalized	verified
shock-analysis-supply	validated_skill_only_full_score	verified
simpo-code-reproduction	validated_skill_only_full_score	verified
software-dependency-audit	validated_skill_only_full_score	verified
speaker-diarization-subtitles	candidate_not_finalized	verified
spring-boot-jakarta-migration	validated_skill_only_full_score	verified
suricata-custom-exfil	validated_skill_only_full_score	verified
syzkaller-ppdev-syzlang	validated_skill_only_full_score	verified
taxonomy-tree-merge	candidate_not_finalized	verified
threejs-structure-parser	validated_skill_only_full_score	verified
threejs-to-obj	validated_skill_only_full_score	verified
travel-planning	candidate_not_finalized	verified
trend-anomaly-causal-inference	validated_skill_only_full_score	verified
video-filler-word-remover	candidate_not_finalized	verified
video-silence-remover	candidate_not_finalized	verified
video-tutorial-indexer	validated_skill_only_full_score	verified
virtualhome-agent-planning	validated_skill_only_full_score	verified
weighted-gdp-calc	validated_skill_only_full_score	verified
xlsx-recover-data	validated_skill_only_full_score	verified
