task	release_status	outcome	reward	tests_passed	tests_total	skill_used	note
3d-scan-calc	validated_skill_only_full_score	full_score	1.0	2	2	true	
adaptive-cruise-control	validated_skill_only_full_score	not_full_score	0.0	11	12	true	
azure-bgp-oscillation-route-leak	candidate_not_finalized	not_full_score	0.0	18	22	true	
citation-check	validated_skill_only_full_score	full_score	1.0	9	9	true	
civ6-adjacency-optimizer	candidate_not_finalized	not_full_score	0.0	9	10	true	
court-form-filling	validated_skill_only_full_score	full_score	1.0	47	47	true	
crystallographic-wyckoff-position-analysis	validated_skill_only_full_score	full_score	1.0	11	11	true	
dapt-intrusion-detection	candidate_not_finalized	not_full_score	0.0	36	37	true	
data-to-d3	validated_skill_only_full_score	not_full_score	0.0	12	15	true	
dialogue-parser	validated_skill_only_full_score	full_score	1.0	35	35	true	
dynamic-object-aware-egomotion	validated_skill_only_full_score	full_score	1.0	11	11	true	
earthquake-phase-association	validated_skill_only_full_score	full_score	1.0	2	2	true	
earthquake-plate-calculation	validated_skill_only_full_score	full_score	1.0	8	8	true	
econ-detrending-correlation	validated_skill_only_full_score	full_score	1.0	4	4	true	
energy-ac-optimal-power-flow	validated_skill_only_full_score	full_score	1.0	23	23	true	
energy-market-pricing	validated_skill_only_full_score	full_score	1.0	4	4	true	
enterprise-information-search	candidate_not_finalized	not_full_score	0.0	2	5	true	
exceltable-in-ppt	validated_skill_only_full_score	full_score	1.0	8	8	true	
exoplanet-detection-period	validated_skill_only_full_score	full_score	1.0	4	4	true	
financial-modeling-qa	candidate_not_finalized	not_full_score	0.0	3	4	true	
find-topk-similiar-chemicals	validated_skill_only_full_score	not_full_score	0.0	0	2	true	
fix-build-agentops	candidate_not_finalized	not_full_score	0.0	2	3	true	
fix-build-google-auto	candidate_not_finalized	not_full_score	0.0	2	3	true	
fix-druid-loophole-cve	validated_skill_only_full_score	full_score	1.0	4	4	true	
fix-erlang-ssh-cve	candidate_not_finalized	not_full_score	0.0	0	3	true	
fix-visual-stability	validated_skill_only_full_score	full_score	1.0	6	6	true	
flink-query	validated_skill_only_full_score	full_score	1.0	3	3	true	
flood-risk-analysis	validated_skill_only_full_score	full_score	1.0	2	2	true	
gh-repo-analytics	validated_skill_only_full_score	full_score	1.0	8	8	true	
