task	release_status	reward	tests_passed	tests_skipped	tests_total	condition	background_documents_available	clean_lineage	oracle_agent	model	evidence_sha256	release_skill_tree_sha256	release_background_doc_tree_sha256
3d-scan-calc	validated_skill_only_full_score	1.0	2	0	2	skill_only	false	verified	claude-code-skill-only	claude-opus-4-6	e0502b4d9c5f5b4c93d5ec4a2c87b52f683b85988b549f2abf04f2b6850796fc	f527e2c98cd503fdff1f116bc3983556c928e4bf25cd3e0523add0fe1de20a6b	7aa5035a95216ee1625209e3e05b87cb9d0be61ce48c1f6359b2d90aac59f3d1
adaptive-cruise-control	validated_skill_only_full_score	1.0	12	0	12	skill_only	false	verified	claude-code-skill-only	claude-opus-4-6	795dd5a22d6239dd14ac3b1393566deb2eea8d697f81711f71a1d564c776bc95	cde9b3a322539148ceb0c3913ec1e0869a75a95a5eaf250cf4808ed2bc08a949	d5c18832e8d656b1c22ed53bf6818d42ada286f0cbb6b6a5eacd477c9f79af97
citation-check	validated_skill_only_full_score	1.0	9	0	9	skill_only	false	verified	claude-code-skill-only	claude-opus-4-6	3d829c7c3f1cb8edf4e43dedec844fe81db30e79761ce3aa645e1253fb4588a0	7ed86051095d346c97a2bf1583f0fd5d962d309ad7f615c1e04c837f38da2b15	d7a16e47da105eb77f50fce223d6cfb57f2a9e73a4c0329065fdeac8b36f7df2
court-form-filling	validated_skill_only_full_score	1.0	5	0	5	skill_only	false	verified	claude-code-skill-only	claude-opus-4-6	9fb4d4301d67c992a5705b9adad681c186d74a4b5a855146c843dc4f9c1ac19d	eb9cc8a38d678edba66e3a4a772ef0611681c28853747b522fc124a4fbe47f86	0854a3a863c4f2e988f17712b2631a3cda8f1bd931305db71e4ccda46a792c0a
crystallographic-wyckoff-position-analysis	validated_skill_only_full_score	1.0	1	0	1	skill_only	false	verified	claude-code-skill-only	claude-opus-4-6	4c92a58982fb42939ea5c4c725140e405395bb65f594ee5d73586d19ebbe9716	ef6a4a5e87b6e84751baafc0e96446734a53f1aab7801e250f41e258e716a396	7ae385836b301afde39f2f7c0ad1d31eb2e5355f261e094b2fb6f6d6f5231f62
data-to-d3	validated_skill_only_full_score	1.0	15	0	15	skill_only	false	verified	claude-code-skill-only	claude-opus-4-6	4c4eb67b78bc36c6af837cff8a426635f149f7e9fd25069d0c7eed2cc33ce061	daefd5ec5968d15bef7bddda4b58c35b0a48e4b81d9871e83dbc260cfc88bbff	b6b0dc1357e70d5b49844f1943db8c1787abf734de59502224a0fc42fb0910d1
dialogue-parser	validated_skill_only_full_score	1.0	35	0	35	skill_only	false	verified	claude-code-skill-only	claude-opus-4-6	1d42a5f44200a068ee0dba25aee41d723a4c9b64f7079227d2799bebc19f2b66	f4cfdebb489cb88b207fe29a95f5def090cf35df4a93fe500e675cfbf4f2dac8	e532b7acc718bdb8bec0deab6413947a8bdb93b0365778529b2911d816cf1e40
dynamic-object-aware-egomotion	validated_skill_only_full_score	1.0	11	0	11	skill_only	false	verified	claude-code-skill-only	claude-opus-4-6	725954cd75d53e37625b3a0ab5446136f465e5ba2eac39944959d3e05aab6ace	836266e24ad743617ef2cb34c1afff626ff807d94cd37e5f06a005fc39d70c4c	fbc7def74b981b34ef3239f096226c29be7646afd6a09a40b726cf816e0544b2
earthquake-phase-association	validated_skill_only_full_score	1.0	1	0	1	skill_only	false	verified	claude-code-skill-only	claude-opus-4-6	ffd4b194ff62597372d5869ea5175ac7a6b85a0322b023b0b5a47fd0f16119c2	f07b6c74a702329c758b06980f21e4647f792f040ebe24c407e0d5f58e34ef40	4af907b154ebef02b8c2d49eafc93604e36e65acb149ba80e2dd366ec70ed778
earthquake-plate-calculation	validated_skill_only_full_score	1.0	8	0	8	skill_only	false	verified	claude-code-skill-only	claude-opus-4-6	bd004d4cc55874b3552640a329a332f2500c21c6e18afb72d2e5c38e247ae217	5691a4a06dc24d8975c4b776cdbe95497727e0b12c8cc44077a2fb094b052cfa	1d00659dad6835fe739aef6ad9b5937bdf9922551c16892b4985359a47b09f94
